"Timestamp","Do you agree to participate?","How geeky would you rate yourself?","How would you rate your degree of Star Wars fandom?","How would you rate your degree of knowledge about the Star Wars universe?","How would you rate your degree of Star Trek fandom?","How would you rate your degree of knowledge about the Star Trek universe?","Who first uttered the line ""It's a trap!"" and in what film?"," 47) According to Klingon mythology, what is the place where all life began?","Overall, are you more familiar with the Star Wars or Star Trek universe?","You're stuck on a deserted island, with a TV and only one complete set of movies/TV episodes/books/games to entertain you for the rest of your life.  Which do you choose?","What is your age?","To which gender identity do you most identify?","Which continent would you identify yourself with?","What is the main sector of your job/education background?","Are you currently enrolled in the MDS program at UBC?"
"2018/04/09 1:36:30 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(4) I know a little about the Extended Universe","3","(3) I watched most of the series","","","Star Wars","Star Trek","In my 20s","Male","North America","Finance/Economics/Business","Yes I am!  Thanks for asking"
"2018/04/09 1:37:00 pm GMT-6","By clicking here, I acknowledge privacy policy","3","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","2","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Wars","In my 30s","Female","North America","Math/Statistics","Yes I am!  Thanks for asking"
"2018/04/09 1:37:13 pm GMT-6","By clicking here, I acknowledge privacy policy","4","4","(3) I've seen all 9 movies, and am excited to see the new one this summer","4","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Trek","In my 20s","Female","Europe","Tech","Yes I am!  Thanks for asking"
"2018/04/09 1:39:29 pm GMT-6","By clicking here, I acknowledge privacy policy","3","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","2","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Trek","In my 20s","Apache Helicopter","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 1:40:34 pm GMT-6","By clicking here, I acknowledge privacy policy","3","2","(2) Darth Vader is Luke's father","2","(1) Is it about space?","","","Star Wars","Star Wars","In my 20s","Female","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 1:42:57 pm GMT-6","By clicking here, I acknowledge privacy policy","3","4","(4) I know a little about the Extended Universe","3","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Trek","In my 20s","Male","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 1:53:53 pm GMT-6","By clicking here, I acknowledge privacy policy","4","1","(2) Darth Vader is Luke's father","4","(4) I have serious opinions about who was the best Captain","","","Star Trek","Star Trek","In my 30s","Female","North America","Administration/Education","No, but it seems like a great program"
"2018/04/09 1:54:46 pm GMT-6","By clicking here, I acknowledge privacy policy","4","5","(5) I even know what's written on Darth Vader's chest plate!","3","(1) Is it about space?","Amiral Ackbar ; Star Wars VI - Le Retour du Jedi","","Star Wars","Star Wars","In my 20s","Male","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 1:57:02 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(4) I know a little about the Extended Universe","2","(1) Is it about space?","","","Star Wars","Star Wars","In my 20s","Apache helicopter ","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 1:59:20 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(4) I know a little about the Extended Universe","4","(3) I watched most of the series","","","Star Wars","Star Trek","In my 40s","Male","North America","Finance/Economics/Business","No, but it seems like a great program"
"2018/04/09 2:00:10 pm GMT-6","By clicking here, I acknowledge privacy policy","2","4","(3) I've seen all 9 movies, and am excited to see the new one this summer","2","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Wars","In my 20s","Male","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 2:11:38 pm GMT-6","By clicking here, I acknowledge privacy policy","2","2","(1) Is it about space?","1","(1) Is it about space?","","","I am familiar with neither","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 30s","Male","North America","Administration/Education","No, but it seems like a great program"
"2018/04/09 2:16:04 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","2","(1) Is it about space?","","","Star Wars","Star Wars","In my 40s","Female","North America","Tech","No, but it seems like a great program"
"2018/04/09 2:16:30 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","3","(3) I watched most of the series","","","Star Wars","Star Wars","In my 40s","Prefer not to say","North America","Math/Statistics","No, but it seems like a great program"
"2018/04/09 2:21:55 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","2","(3) I watched most of the series","","","Star Wars","Star Wars","In my 40s","Male","North America","Tech","No, but it seems like a great program"
"2018/04/09 2:29:02 pm GMT-6","By clicking here, I acknowledge privacy policy","3","4","(3) I've seen all 9 movies, and am excited to see the new one this summer","3","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Wars","In my 20s","Magret de canard","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 2:29:24 pm GMT-6","By clicking here, I acknowledge privacy policy","5","5","(5) I even know what's written on Darth Vader's chest plate!","3","(2) I saw the reboot with Chris Pine","Admiral Ackbar in Star Wars VI, Return of the Jedi","","Star Wars","Star Wars","In my 20s","Male","Europe","Math/Statistics","No, but it seems like a great program"
"2018/04/09 2:29:39 pm GMT-6","By clicking here, I acknowledge privacy policy","2","3","(2) Darth Vader is Luke's father","2","(1) Is it about space?","","","Star Wars","Star Wars","50 or older","Female","North America","Biology/Medicine","No, but it seems like a great program"
"2018/04/09 2:30:04 pm GMT-6","By clicking here, I acknowledge privacy policy","3","4","(2) Darth Vader is Luke's father","3","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Trek","In my 30s","Male","North America","Math/Statistics","No, but it seems like a great program"
"2018/04/09 2:35:39 pm GMT-6","By clicking here, I acknowledge privacy policy","5","4","(3) I've seen all 9 movies, and am excited to see the new one this summer","2","(2) I saw the reboot with Chris Pine","","","Star Wars","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 30s","Male","North America","Biology/Medicine","Yes I am!  Thanks for asking"
"2018/04/09 2:37:19 pm GMT-6","By clicking here, I acknowledge privacy policy","3","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","3","(3) I watched most of the series","","","Star Wars","Star Trek","In my 40s","Female","North America","Tech","No, but it seems like a great program"
"2018/04/09 2:41:16 pm GMT-6","By clicking here, I acknowledge privacy policy","3","2","(1) Is it about space?","4","(4) I have serious opinions about who was the best Captain","","","Star Trek","Star Trek","In my 30s","Male","Asia","Finance/Economics/Business","No, but it seems like a great program"
"2018/04/09 2:41:47 pm GMT-6","By clicking here, I acknowledge privacy policy","4","5","(4) I know a little about the Extended Universe","2","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Wars","In my 20s","Male","Europe","Tech","No, but it seems like a great program"
"2018/04/09 2:50:46 pm GMT-6","By clicking here, I acknowledge privacy policy","3","3","(2) Darth Vader is Luke's father","2","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Wars","In my 20s","Prefer not to say","Antarctica","Biology/Medicine","Yes I am!  Thanks for asking"
"2018/04/09 2:52:13 pm GMT-6","By clicking here, I acknowledge privacy policy","2","1","(2) Darth Vader is Luke's father","1","(2) I saw the reboot with Chris Pine","","","I am familiar with neither","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Female","North America","Earth science","Yes I am!  Thanks for asking"
"2018/04/09 2:56:57 pm GMT-6","By clicking here, I acknowledge privacy policy","3","1","(3) I've seen all 9 movies, and am excited to see the new one this summer","3","(2) I saw the reboot with Chris Pine","","","Star Wars","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Male","North America","Engineering","Yes I am!  Thanks for asking"
"2018/04/09 3:01:02 pm GMT-6","By clicking here, I acknowledge privacy policy","1","1","(2) Darth Vader is Luke's father","1","(1) Is it about space?","","","Star Wars","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Female","North America","Chemistry/Physics","Yes I am!  Thanks for asking"
"2018/04/09 3:05:41 pm GMT-6","By clicking here, I acknowledge privacy policy","4","2","(2) Darth Vader is Luke's father","2","(2) I saw the reboot with Chris Pine","","","I am familiar with neither","Star Trek","In my 20s","Male","North America","Math/Statistics","Yes I am!  Thanks for asking"
"2018/04/09 3:06:18 pm GMT-6","By clicking here, I acknowledge privacy policy","5","4","(4) I know a little about the Extended Universe","2","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Wars","In my 20s","Male","North America","Finance/Economics/Business","Yes I am!  Thanks for asking"
"2018/04/09 3:07:38 pm GMT-6","By clicking here, I acknowledge privacy policy","3","3","(2) Darth Vader is Luke's father","2","(2) I saw the reboot with Chris Pine","","","Star Wars","Star Wars","In my 20s","Male","North America","Biology/Medicine","Yes I am!  Thanks for asking"
"2018/04/09 3:12:00 pm GMT-6","By clicking here, I acknowledge privacy policy","3","2","(1) Is it about space?","1","(1) Is it about space?","","","I am familiar with neither","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Female","Asia","geology","Yes I am!  Thanks for asking"
"2018/04/09 3:12:15 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","2","(1) Is it about space?","","","Star Wars","Star Wars","In my 20s","Male","North America","Biology/Medicine","Yes I am!  Thanks for asking"
"2018/04/09 3:12:18 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(2) Darth Vader is Luke's father","3","(2) I saw the reboot with Chris Pine","","","Star Wars","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Male","Asia","Chemistry/Physics","Yes I am!  Thanks for asking"
"2018/04/09 3:13:17 pm GMT-6","By clicking here, I acknowledge privacy policy","1","1","(1) Is it about space?","1","(1) Is it about space?","","","I am familiar with neither","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 30s","Male","Asia","business","Yes I am!  Thanks for asking"
"2018/04/09 3:13:40 pm GMT-6","By clicking here, I acknowledge privacy policy","2","3","(4) I know a little about the Extended Universe","1","(1) Is it about space?","","","Star Wars","Star Wars","In my 20s","Male","Europe","Finance/Economics/Business","Yes I am!  Thanks for asking"
"2018/04/09 3:13:57 pm GMT-6","By clicking here, I acknowledge privacy policy","5","5","(3) I've seen all 9 movies, and am excited to see the new one this summer","5","(4) I have serious opinions about who was the best Captain","","","Star Trek","Star Trek","In my 30s","Female","North America","Administration/Education","No, but it seems like a great program"
"2018/04/09 3:14:41 pm GMT-6","By clicking here, I acknowledge privacy policy","4","4","(3) I've seen all 9 movies, and am excited to see the new one this summer","4","(2) I saw the reboot with Chris Pine","","","Star Wars","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Female","North America","Finance/Economics/Business","Yes I am!  Thanks for asking"
"2018/04/09 3:14:49 pm GMT-6","By clicking here, I acknowledge privacy policy","3","1","(1) Is it about space?","1","(1) Is it about space?","","","I am familiar with neither","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Female","North America","Biology/Medicine","Yes I am!  Thanks for asking"
"2018/04/09 3:16:39 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(1) Is it about space?","3","(1) Is it about space?","","","I am familiar with neither","Star Wars","In my 20s","Female","Asia","Finance/Economics/Business","Yes I am!  Thanks for asking"
"2018/04/09 3:17:16 pm GMT-6","By clicking here, I acknowledge privacy policy","2","2","(4) I know a little about the Extended Universe","2","(1) Is it about space?","","","I am familiar with neither","Star Wars","In my 20s","Female","Asia","Math/Statistics","Yes I am!  Thanks for asking"
"2018/04/09 3:18:07 pm GMT-6","By clicking here, I acknowledge privacy policy","4","3","(3) I've seen all 9 movies, and am excited to see the new one this summer","4","(3) I watched most of the series","","","Star Trek","Star Trek","In my 20s","Female","Asia","Tech","Yes I am!  Thanks for asking"
"2018/04/09 3:18:17 pm GMT-6","By clicking here, I acknowledge privacy policy","4","2","(2) Darth Vader is Luke's father","1","(1) Is it about space?","","","I am familiar with neither","I choose neither.  I will stare at the sand for the rest of my life rather than choose a quality science fiction series to watch.","In my 20s","Male","South America","Finance/Economics/Business","Yes I am!  Thanks for asking"
